sku,gtin,identifier,title,description,slug,price,sale_price,brand,condition,photo,gallery,product_type,quantity,weight,measure,length,width,height,google_product_category,meta_tag,meta_description,show_in_feed
UCS-C3K-10TEM,,No,UCS-C3K-10TEM - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-C3K-10TEM - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3000 Rack Server,ucs-c3k-10tem-cisco-systems-inc-server-hard-drive,1343.39,,Cisco Systems Inc,Refurbished,UCS-C3K-10TEM.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-C3K-10TEM Cisco Systems Inc Server Hard Drive,,0
UCS-C3K-10TREM=,,No,UCS-C3K-10TREM= - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-C3K-10TREM= - Cisco 10TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3000 Rack Server,ucs-c3k-10trem-cisco-systems-inc-server-hard-drive,2364.4,,Cisco Systems Inc,Refurbished,UCS-C3K-10TREM.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-C3K-10TREM= Cisco Systems Inc Server Hard Drive,,0
UCS-C3K-EX24TE,,No,UCS-C3K-EX24TE - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-C3K-EX24TE - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3X60 Expander,ucs-c3k-ex24te-cisco-systems-inc-server-hard-drive,8897.54,,Cisco Systems Inc,Refurbished,UCS-C3K-EX24TE.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-C3K-EX24TE Cisco Systems Inc Server Hard Drive,,0
UCS-C3K-HD6TK9,,No,UCS-C3K-HD6TK9 - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-C3K-HD6TK9 - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3000 Rack Server,ucs-c3k-hd6tk9-cisco-systems-inc-server-hard-drive,169.14,,Cisco Systems Inc,Refurbished,UCS-C3K-HD6TK9.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-C3K-HD6TK9 Cisco Systems Inc Server Hard Drive,,0
UCS-C3K-HD6TRK9,,No,UCS-C3K-HD6TRK9 - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCS-C3K-HD6TRK9 - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3000 Rack Server,ucs-c3k-hd6trk9-cisco-systems-inc-server-hard-drive,1731.07,,Cisco Systems Inc,Refurbished,UCS-C3K-HD6TRK9.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-C3K-HD6TRK9 Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-14HD4,,No,UCSC-C3X60-14HD4 - Cisco 6TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive,UCSC-C3X60-14HD4 - Cisco 6TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive for UCS C3X60,ucsc-c3x60-14hd4-cisco-systems-inc-server-hard-drive,6963.76,,Cisco Systems Inc,Refurbished,UCSC-C3X60-14HD4.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-14HD4 Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-14HD4=,,No,UCSC-C3X60-14HD4= - Cisco 6TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive,UCSC-C3X60-14HD4= - Cisco 6TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive for UCS C3X60,ucsc-c3x60-14hd4-cisco-systems-inc-server-hard-drive,8959.05,,Cisco Systems Inc,Refurbished,UCSC-C3X60-14HD4.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-14HD4= Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-EX32T,,No,UCSC-C3X60-EX32T - Cisco 8TB 7200RPM SAS Hard Drive,UCSC-C3X60-EX32T - Cisco 8TB 7200RPM SAS Hard Drive for UCS C3X60 Expander,ucsc-c3x60-ex32t-cisco-systems-inc-server-hard-drive,6029.27,,Cisco Systems Inc,Refurbished,UCSC-C3X60-EX32T.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-EX32T Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-HD4TB,,No,UCSC-C3X60-HD4TB - Cisco 4TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive,UCSC-C3X60-HD4TB - Cisco 4TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive for UCS C3160 Rack Server,ucsc-c3x60-hd4tb-cisco-systems-inc-server-hard-drive,84.56,,Cisco Systems Inc,Refurbished,UCSC-C3X60-HD4TB.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-HD4TB Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-HD4TB=,,No,UCSC-C3X60-HD4TB= - Cisco 4TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive,UCSC-C3X60-HD4TB= - Cisco 4TB 7200RPM SAS 6GB/s 3.5-inch Hard Drive for UCS C3160 Rack Server,ucsc-c3x60-hd4tb-cisco-systems-inc-server-hard-drive,921.4,,Cisco Systems Inc,Refurbished,UCSC-C3X60-HD4TB.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-HD4TB= Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-HD6TB,,No,UCSC-C3X60-HD6TB - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCSC-C3X60-HD6TB - Cisco 6TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCS C3160 Rack Server,ucsc-c3x60-hd6tb-cisco-systems-inc-server-hard-drive,850.4,,Cisco Systems Inc,Refurbished,UCSC-C3X60-HD6TB.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-HD6TB Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-HD8TB,,No,UCSC-C3X60-HD8TB - Cisco 8TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCSC-C3X60-HD8TB - Cisco 8TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive for UCSC 3X60,ucsc-c3x60-hd8tb-cisco-systems-inc-server-hard-drive,1467.15,,Cisco Systems Inc,Refurbished,UCSC-C3X60-HD8TB.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-HD8TB Cisco Systems Inc Server Hard Drive,,0
UCSC-C3X60-HD8TB=,,No,UCSC-C3X60-HD8TB= - Cisco 8TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,UCSC-C3X60-HD8TB= - Cisco 8TB 7200RPM SAS 12GB/s 3.5-inch Hard Drive,ucsc-c3x60-hd8tb-cisco-systems-inc-server-hard-drive,1488.64,,Cisco Systems Inc,Refurbished,UCSC-C3X60-HD8TB.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCSC-C3X60-HD8TB= Cisco Systems Inc Server Hard Drive,,0
UCS-EZ-300GB-HDD,,No,UCS-EZ-300GB-HDD - Cisco 300GB 10000RPM SAS 6GB/s SFF Hard Drive,UCS-EZ-300GB-HDD - Cisco 300GB 10000RPM SAS 6GB/s SFF Hard Drive,ucs-ez-300gb-hdd-cisco-systems-inc-server-hard-drive,179.24,,Cisco Systems Inc,Refurbished,UCS-EZ-300GB-HDD.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ-300GB-HDD Cisco Systems Inc Server Hard Drive,,0
UCS-EZ7-1TB-HDD4,,No,UCS-EZ7-1TB-HDD4 - Cisco 1TB 7200RPM SATA 6GB/s 2.5-inch Hard Drive,UCS-EZ7-1TB-HDD4 - Cisco 1TB 7200RPM SATA 6GB/s 2.5-inch Hard Drive for UCS SmartPlay 7,ucs-ez7-1tb-hdd4-cisco-systems-inc-server-hard-drive,1275.27,,Cisco Systems Inc,Refurbished,UCS-EZ7-1TB-HDD4.jpg,,Storage Devices/Hard Disk Drives/Server Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,UCS-EZ7-1TB-HDD4 Cisco Systems Inc Server Hard Drive,,0
