sku,image name,title,brand,product_type,length
434662R-001,,434662R-001 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-346,,331415R-346 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
412367R-001,,412367R-001 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
433146R-002,,433146R-002 - HP 120GB 5400RPM SATA 1.5GB/s 8MB Cache 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
419124R-001,,419124R-001 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
443919R-001,,443919R-001 - HP 120GB 5400RPM SATA 1.5GB/s 8MB Cache 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
312954R-001,,312954R-001 - HP 80GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
407851R-001,,407851R-001 - HP 100GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
418581R-001,,418581R-001 - HP 40GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
412773R-001,,412773R-001 - HP 40GB 4200RPM SATA Ultra ATA-100 Embedded ZIF 1.8-inch Hard Drive,HP,Laptop Hard Drive,11
395294R-002,,395294R-002 - HP 100GB 5400RPM SATA 1.5GB/s 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
236920R-001,,236920R-001 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-398,,331415R-398 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-400,,331415R-400 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-451,,331415R-451 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-461,,331415R-461 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-678,,331415R-678 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-702,,331415R-702 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-692,,331415R-692 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
332943R-001,,332943R-001 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
253522R-B24,,253522R-B24 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
261381R-001,,261381R-001 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-338,,331415R-338 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-354,,331415R-354 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-641,,331415R-641 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
251358R-001,,251358R-001 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
291944R-B22,,291944R-B22 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-380,,331415R-380 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-387,,331415R-387 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
